index,North,South,West,East,ND,SD,WD,ED
1,,,7,,,,3,
2,,3,8,,,3,3,
3,2,,,,3,,,
4,,5,10,,,3,3,
5,4,6,,,3,3,,
6,5,,,,3,,,
7,,8,13,1,,3,3,3
8,7,,,2,3,,,3
9,,,15,,,,3,
10,,11,,4,,3,,3
11,10,,17,,3,,3,
12,,,18,,,,3,
13,,14,19,7,,3,3,3
14,13,15,20,,3,3,3,
15,14,16,21,9,3,3,3,3
16,15,17,,,3,3,,
17,16,18,23,11,3,3,3,3
18,17,,,12,3,,,3
19,,20,,13,,3,,3
20,19,21,26,14,3,3,3,3
21,20,22,,15,3,3,,3
22,21,23,28,,3,3,3,
23,22,24,29,17,3,3,3,3
24,23,,,,3,,,
25,,26,,,,3,,
26,25,27,32,20,3,3,3,3
27,26,28,33,,3,3,3,
28,27,29,34,22,3,3,3,3
29,28,,,23,3,,,3
30,,,36,,,,3,
31,,,37,,,,3,
32,,33,,26,,3,,3
33,32,,39,27,3,,3,3
34,,35,40,28,,3,3,3
35,34,36,,,3,3,,
36,35,,,30,3,,,3
37,,38,43,31,,3,3,3
38,37,39,,,3,3,,
39,38,40,45,33,3,3,3,3
40,39,41,46,34,3,3,3,3
41,40,42,,,3,3,,
42,41,,48,,3,,3,
43,,44,,37,,3,,3
44,43,,,,3,,,
45,,,,39,,,,3
46,,,,40,,,,3
47,,48,,,,3,,
48,47,,,42,3,,,3
